stiffness,activity,max_time,dumpN
100,1,9000,200
100,1.5,3000,200
100,2,1600,200
100,2.5,1000,200
100,3,500,200
100,3.5,320,200
100,4,250,200
100,5,200,200
100,7.5,150,200
100,10,100,200
175,1,12500,200
175,2,2000,200
175,3.5,450,200
175,5,250,200
175,7.5,150,200
175,10,100,200
250,1,20000,200
250,2,3000,200
250,3.5,750,200
250,5,250,200
250,7.5,150,200
250,10,100,200
375,1,25000,200
375,2,5000,200
375,3.5,1000,200
375,5,300,200
375,7.5,150,200
375,10,100,200
500,1,40000,200
500,2,6000,200
500,3.5,2000,200
500,5,400,200
500,7.5,150,200
500,10,100,200
625,1,56000,200
625,2,7500,200
625,3.5,3000,200
625,5,600,200
625,7.5,150,200
625,10,100,200
750,1,64000,200
750,2,9000,200
750,3.5,4000,200
750,5,750,200
750,7.5,200,200
750,10,120,200
875,1,100000,400
875,2,15000,200
875,3.5,4000,200
875,5,750,200
875,7.5,200,200
875,10,120,200
1000,3.5,4000,200
1000,5,750,200
1000,7.5,250,200
1000,10,120,200
1125,3.5,4000,200
1125,5,1000,200
1125,7.5,300,200
1125,10,120,200
1250,3.5,4000,200
1250,5,1000,200
1250,7.5,300,200
1250,10,120,200
1375,3.5,5000,200
1375,5,1200,200
1375,7.5,400,200
1375,10,150,200
1500,3.5,5000,200
1500,5,1200,200
1500,7.5,400,200
1500,10,150,200
